a52dec 0.7.4-9
perl-libwww 6.33-1
perl-linux-desktopfiles 0.25-1
perl-lwp-mediatypes 6.02-4
perl-lwp-protocol-https 6.07-1
perl-mailtools 2.20-1
perl-net-http 6.17-1
perl-net-ssleay 1.85-1
perl-parse-yapp 1.05-8
perl-timedate 2.30-4
perl-try-tiny 0.30-1
perl-uri 1.73-1
perl-www-robotrules 6.02-4
perl-xml-libxml 2.0132-1
perl-xml-namespacesupport 1.12-2
perl-xml-parser 2.44-6
perl-xml-sax 1.00-1
perl-xml-sax-base 1.09-2
pigz 2.4-1
pinentry 1.1.0-1
pixman 0.34.0-1
pixz 1.0.6-1
pkcs11-helper 1.22-2
pkg-config 0.29.2-1
plank 0.11.4-1
playerctl 0.5.0-4
podofo 0.9.5-2
polkit 0.113+34+g29ba7af-1
polkit-gnome 0.105-3
polybar 3.1.0-4
poppler 0.63.0-1
poppler-glib 0.63.0-1
popt 1.16-9
portaudio 190600_20161030-1
potrace 1.15-1
powerline 2.6-1
powerline-common 2.6-1
powerline-fonts 2.6-1
powertop 2.9-1
ppp 2.4.7-4
pptpclient 1.10.0-1
procps-ng 3.3.12-3
progsreiserfs 0.3.0.5-8
protobuf 3.5.2-1
proxychains-ng 4.12-1
psmisc 23.1-1
pugixml 1.8-1
pulseaudio 11.1-1
pulseaudio-alsa 2-3
pulseaudio-bluetooth 11.1-1
pulseaudio-equalizer-ladspa 2.7.0.2-4
pygobject-devel 3.28.2-1
pygobject2-devel 2.28.7-1
pygtk 2.24.0-8
pyqt5-common 5.10.1-2
python 3.6.4-2
python-anytree 2.4.3-1
python-appdirs 1.4.3-1
python-bleach 2.1.3-1
python-cairo 1.16.3-1
python-chardet 3.0.4-1
python-dateutil 2.7.2-1
python-dbus 1.2.6-1
python-dbus-common 1.2.6-1
python-decorator 4.2.1-1
python-distutils-extra 2.39-2
python-docopt 0.6.2-4
python-entrypoints 0.2.3-1
python-gobject 3.28.2-1
python-html5lib 1.0.1-2
python-idna 2.6-1
python-ipykernel 4.6.1-1
python-ipywidgets 6.0.0-1
python-jedi 0.11.1-1
python-jinja 2.10-1
python-jsonschema 2.6.0-2
python-jupyter_client 5.2.2-1
python-jupyter_core 4.4.0-2
python-keyutils 0.5-1
python-lxml 4.2.1-1
python-markupsafe 1.0-1
python-mistune 0.8.1-1
python-netifaces 0.10.6-1
python-packaging 16.8-2
python-pandocfilters 1.4.2-1
python-parso 0.1.1-1
python-pexpect 4.4.0-1
python-pickleshare 0.7.4-3
python-pillow 5.0.0-1
python-pip 9.0.1-3
python-powerline 2.6-1
python-prompt_toolkit 1.0.15-1
python-psutil 5.4.3-1
python-ptyprocess 0.5.2-1
python-pycups 1.9.73-3
python-pycurl 7.43.0.1-1
python-pygments 2.2.0-1
python-pyparsing 2.2.0-1
python-pyqt5 5.10.1-2
python-pyzmq 16.0.3-1
python-reportlab 3.4.0-1
python-requests 2.18.4-1
python-send2trash 1.5.0-1
python-setuptools 1:39.0.1-1
python-sip 4.19.8-1
python-six 1.11.0-1
python-terminado 0.8.1-1
python-testpath 0.3.1-1
python-tornado 4.5.3-1
python-traitlets 4.3.2-1
python-urllib3 1.22-1
python-wcwidth 0.1.7-2
python-webencodings 0.5.1-1
python-xdg 0.25-4
python-yaml 3.12-3
